Subject,Block,Round,Condition,EN_TimeSpent,EN_dMoved,EN_nDirectionChange,EN_nManipulation,EN_PathEfficiency,EN_TimeEfficiency,EN_tCenter,EN_tPeri
1,1,1,1,92.52005,1065.776,25,42,1064.489627,10.23547718,17.9,86.1
1,1,2,2,83.31531,868.5359,36,45,867.3000523,9.855682413,12.5,75.5
1,2,3,2,75.20337,891.814,36,42,890.5417682,10.45236817,17.3,67.9
1,2,4,1,80.55396,979.2742,27,41,978.1369596,10.09429267,16.6,80.3
1,3,5,1,85.37415,875.6656,21,40,873.916845,9.710187167,12.8,77.2
1,3,6,2,82.50513,832.0483,30,42,830.2242573,8.748411563,23.3,71.6
2,1,1,2,143.3947,887.9379,34,58,885.4658027,5.672426667,54.5,101.6
2,1,2,1,111.0829,831.8422,30,47,830.1861825,7.065414319,16.8,100.7
2,2,3,1,137.0381,944.9607,22,39,942.9930209,5.912181949,42.9,116.6
2,2,4,2,124.9253,947.9474,43,55,944.8302637,7.072082812,21.5,112.1
2,3,5,2,118.6541,833.1127,37,48,829.6839555,5.834626973,24.3,117.9
2,3,6,1,99,835.9778,22,41,833.7521579,7.437575003,19.7,92.4
3,1,1,1,240.9746,847.6295,33,50,846.6186014,3.211754937,34.7,228.9
3,1,2,2,221.2268,857.7183,40,65,851.9207087,3.49434253,20.6,223.2
3,2,3,2,213.5938,839.4783,46,64,832.2195889,3.640505638,16.9,211.7
3,2,4,1,192.6201,837.0176,31,56,835.5874489,3.95076808,23.3,188.2
3,3,5,1,193.7861,835.0156,24,44,834.4373608,4.076391601,19.8,184.9
3,3,6,2,174.7661,815.7446,36,52,809.8616873,4.222427984,20.2,171.6
4,1,1,2,209.7057,821.408,74,107,818.3655834,3.603547263,31.9,195.2
4,1,2,1,181.5978,1355.279,33,76,1353.851326,6.148280316,25.4,194.8
4,2,3,1,152.9055,918.0709,17,40,917.6168972,5.73869229,16.4,143.5
4,2,4,2,124.5798,893.9576,44,56,891.6063106,6.609387032,21.7,113.2
4,3,5,2,166.4365,877.4731,58,77,874.9251497,4.585561581,37.8,153
4,3,6,1,130.9897,885.9289,11,36,885.0173988,6.536317569,12.5,122.9
5,1,1,1,108.2159,820.2533,20,43,819.4048028,6.903157564,21.5,97.2
5,1,2,2,126.3771,897.5819,65,96,893.1301675,6.23694251,34.2,109
5,2,3,2,119.2754,831.5859,33,66,826.285489,6.685157678,12.9,110.7
5,2,4,1,111.9646,875.7222,18,46,874.6482255,7.437484911,14.2,103.4
5,3,5,1,95.94263,848.777,14,37,847.8988635,8.232027801,16,87
5,3,6,2,103.7051,857.1514,30,56,853.8608696,7.891505265,12.7,95.5
6,1,1,2,236.6636,805.6514,42,73,801.9186297,3.148483038,37.3,217.4
6,1,2,1,169.3442,806.8971,13,54,805.9971599,4.522991918,26.8,151.4
6,2,3,1,141.1689,807.7119,35,59,806.388309,5.455942551,19,128.8
6,2,4,2,156.5295,806.4056,53,75,802.5822809,4.734998707,26.1,143.4
6,3,5,2,125.064,813.5428,28,44,809.3822325,6.044676867,16.6,117.3
6,3,6,1,139.3462,820.5186,9,44,817.6884731,5.650922412,16.5,128.2
7,1,1,1,120.064,805.5949,8,31,804.5535257,6.256248256,22.6,106
7,1,2,2,115.4871,801.2802,17,34,798.9030597,6.391224477,17.4,107.6
7,2,3,2,99.17493,827.9479,13,27,826.1378003,7.890523403,13.8,90.9
7,2,4,1,107.2131,824.7667,8,28,822.6367237,7.391165532,14,97.3
7,3,5,1,104.2761,831.0421,10,27,829.9405696,7.538061486,13.1,97
7,3,6,2,90.12207,807.2983,13,24,805.3806745,8.531574942,11.9,82.5
8,1,1,2,136.1909,866.1846,19,44,862.7574578,5.713625548,19.2,131.8
8,1,2,1,116.3999,813.7614,22,40,812.2515332,6.657799453,12.4,109.6
8,2,3,1,106.6377,869.533,22,39,867.364448,7.38182509,16.3,101.2
8,2,4,2,108.7957,817.7417,19,28,814.8942609,7.205077462,11.7,101.4
8,3,5,2,100.9609,824.2015,26,41,821.3829108,7.224124105,21.6,92.1
8,3,6,1,85.67847,855.0557,20,43,853.6504584,9.339720551,12.5,78.9
9,1,1,1,186.0683,829.8193,19,38,829.4299154,4.210304139,26.4,170.6
9,1,2,2,158.5914,817.2036,24,38,814.7608875,4.974120193,27.5,136.3
9,2,3,2,145.965,871.0458,14,25,868.5822902,5.582148395,20.3,135.3
9,2,4,1,113.6157,846.8221,11,31,846.2572845,7.141411684,17.2,101.3
9,3,5,1,138.9319,839.3247,15,29,838.1103515,5.820210774,16.2,127.8
9,3,6,2,137.2898,841.3566,22,31,838.2727968,5.907489759,16.3,125.6
10,1,1,2,136.6415,813.6411,32,53,812.5428517,5.623133922,26.4,118.1
10,1,2,1,137.9216,854.8052,21,42,854.2587966,5.525606705,35.4,119.2
10,2,3,1,131.9985,843.4448,30,46,843.0836884,5.928858569,26.9,115.3
10,2,4,2,120.8403,824.1775,35,46,822.1370035,6.383051269,24.1,104.7
10,3,5,2,126.4487,818.4168,34,51,816.8365246,6.104906761,21.8,112
10,3,6,1,126.4253,822.8384,21,45,822.0573573,6.20420647,20.8,111.7
11,1,1,1,112.0825,1055.206,33,43,1054.358326,7.951420258,33.6,99
11,1,2,2,105.0452,1108.353,29,48,1107.761744,9.468049095,27.2,89.8
11,2,3,2,90.23975,1058.213,25,35,1056.813428,10.88376342,19.1,78
11,2,4,1,121.8525,1505.157,27,38,1503.706919,11.65664278,37.9,91.1
11,3,5,1,100.7156,1421.227,27,32,1419.682951,13.25567648,22.2,84.9
11,3,6,2,89.95508,1155.34,21,29,1154.53224,11.47646362,27.9,72.7
12,1,1,2,276.5996,843.5333,53,94,839.6625483,2.814825841,46,252.3
12,1,2,1,215.301,858.0971,43,66,856.6223212,3.367226105,63.3,191.1
12,2,3,1,177.1531,843.4435,22,51,842.29715,4.494648613,21.2,166.2
12,2,4,2,159.5173,825.1494,40,49,820.5380862,4.680764895,27.8,147.5
12,3,5,2,106.3003,820.6218,35,52,816.4484304,6.764278628,19.9,100.8
12,3,6,1,104.1953,826.0894,23,41,823.2009651,7.608142007,16.4,91.8
13,1,1,1,234.0042,867.6089,88,190,866.6886448,3.11422438,27.5,250.8
13,1,2,2,256.5039,857.6885,95,213,849.7627507,2.885442278,23.3,271.2
13,2,3,2,207.4683,809.1921,64,157,802.4833691,3.706620643,20.5,196
13,2,4,1,125.6223,814.8823,41,90,813.0587632,6.254298178,17.2,112.8
13,3,5,1,122.2646,822.5084,33,80,821.8533686,6.522645782,15.6,110.4
13,3,6,2,166.8721,840.0662,76,126,835.0801822,4.857941723,19.2,152.7
14,1,1,2,155.6422,815.0822,37,57,811.6604338,4.863154187,24.9,142
14,1,2,1,130.837,875.149,17,47,873.8694813,6.171394642,22.9,118.7
14,2,3,1,121.2864,839.5208,14,36,838.6348258,6.392033734,13,118.2
14,2,4,2,139.7361,828.0549,34,53,822.2380797,5.459748205,13.7,136.9
14,3,5,2,127.6436,835.9083,23,35,832.6081765,6.14924798,9.8,125.6
14,3,6,1,131.186,841.3351,3,44,839.636081,6.187443485,17.8,117.9
15,1,1,1,151.8148,800.3839,23,53,799.5176977,4.600216903,40.7,133.1
15,1,2,2,178.4727,799.2355,20,39,796.0227127,4.220693069,24.9,163.7
15,2,3,2,171.8589,798.3977,13,32,794.4601592,4.463259321,22.8,155.2
15,2,4,1,142.062,810.7895,18,39,810.222664,5.437736,18.7,130.3
15,3,5,1,134.7256,809.3464,16,36,808.7748108,5.768721903,16.3,123.9
15,3,6,2,102.6343,803.3419,12,26,800.4995057,7.425783912,14.4,93.4
16,1,1,2,181.9516,807.2573,36,75,805.2073556,4.150553379,38,156
16,1,2,1,152.0661,854.5184,22,51,854.3523097,5.016748736,38.4,131.9
16,2,3,1,163.8811,823.1392,25,53,822.7930039,4.49368107,35.3,147.8
16,2,4,2,162.4595,819.0325,35,53,817.0573238,4.509146379,41.6,139.6
16,3,5,2,129.5186,828.0666,30,41,826.9589642,5.992456263,29.1,108.9
16,3,6,1,122.2646,816.1887,27,46,815.8118739,6.110950366,29.3,104.2
17,1,1,1,292.4227,1124.849,88,138,1123.204181,3.367928577,161.8,171.7
17,1,2,2,373.4557,1463.202,113,172,1458.080173,3.484062541,165.8,252.7
17,2,3,2,162.9998,1000.118,52,87,999.0005117,5.49505232,43.8,138
17,2,4,1,168.1936,1108.156,35,57,1107.527948,6.112185144,57.9,123.3
17,3,5,1,136.8174,1146.683,35,57,1146.129524,7.447235376,50,103.9
17,3,6,2,157.6504,854.4564,67,86,852.1538757,4.934301539,45.4,127.3
18,1,1,2,183.199,941.4886,36,69,935.8741048,4.639931109,73.4,128.3
18,1,2,1,199.1594,931.7248,31,57,930.7152617,4.487537424,45.6,161.8
18,2,3,1,198.3044,1037.492,41,86,1032.442093,4.782038412,86.9,129
18,2,4,2,177.8442,918.276,54,84,912.9638906,4.78994696,63.3,127.3
18,3,5,2,160.459,928.8951,42,73,921.569954,5.019444194,69.5,114.1
18,3,6,1,164.1138,946.5328,37,76,941.6866981,5.526330388,47.7,122.7
19,1,1,1,389.6585,1012.344,61,97,1011.366807,2.427668763,180,236.6
19,1,2,2,309.6565,866.8192,53,79,860.5689858,2.640592163,77,248.9
19,2,3,2,153.4063,855.4485,29,51,851.9907508,4.964981065,22.1,149.5
19,2,4,1,137.8823,846.3112,18,42,844.2804149,5.521781654,26.9,126
19,3,5,1,164.5742,853.1105,20,50,852.4032121,4.873660446,47.1,127.8
19,3,6,2,154.2393,822.8525,22,36,818.8023855,5.11431846,17.7,142.4
20,1,1,2,107.5113,876.08,42,57,872.7964484,7.084386756,23.2,100
20,1,2,1,86.52441,847.5556,28,46,846.5541749,9.469286073,10.8,78.6
20,2,3,1,93.15735,867.8391,24,38,865.8799187,8.844534409,13.1,84.8
20,2,4,2,94.77661,809.5145,36,53,805.1781372,7.757014809,19.2,84.6
20,3,5,2,97.49634,838.0222,29,39,833.5388052,8.236549459,12.2,89
20,3,6,1,81.77295,845.4751,17,34,844.1642515,9.463724793,8.5,80.7
21,1,1,1,174.9652,812.1611,49,73,811.5054546,4.367628927,27,158.8
21,1,2,2,152.5247,813.3587,40,63,809.6148448,4.824879886,24.4,143.4
21,2,3,2,151.3767,812.7297,37,51,809.3218284,5.191288187,17.3,138.6
21,2,4,1,138.4175,826.0383,28,48,824.7327035,5.641126563,19.7,126.5
21,3,5,1,148.2236,816.5273,48,80,813.9740944,5.265032952,16.5,138.1
21,3,6,2,148.5117,806.5685,35,51,802.1359247,4.846742747,25.3,140.2
22,1,1,2,142.4155,848.6876,25,33,846.8153151,5.571153389,31.5,120.5
22,1,2,1,112.019,893.0463,30,41,892.3213515,7.368466982,18.1,103
22,2,3,1,122.7004,987.5367,33,50,986.8145409,7.649725123,35.3,93.7
22,2,4,2,101.6245,888.0584,25,40,886.628676,8.240043457,20.8,86.8
22,3,5,2,94.06201,1080.249,26,32,1077.875029,10.95401453,31.6,66.8
22,3,6,1,111.165,917.8235,34,48,917.2668618,7.969303752,25.5,89.6
23,1,1,1,158.3666,876.4702,42,68,876.2632186,5.215852492,21.1,146.9
23,1,2,2,132.3174,879.2056,50,80,878.3524871,6.225035344,27,114.1
23,2,3,2,82.22046,876.8671,46,60,874.8131186,9.45743912,19.5,73
