Subject,Block,Round,Condition,Index,from,to,set,Object,Position,StartTime,EndTime,FB_EndTime,dError,dMoved,totalAngle,directionChange,nManipulation,estimation_dError,Time,TimeCompensated,Q1,Q2,Q3,Q4,Q1z,Q2z,Q3z,Q4z,MemoryPerform,PathEfficiency,TimeEfficiency,tCenter,tPeri,dEndpoint
1,1,1,1,1,0,1,1,Broom,12,250.191,258.985,264.887,20.258,45.645,125.600,1,2,4.792283,1.610718,1.220242781,-10,-10,-10,-10,-10,-10,-10,-10,0.931165626,1.00311759,6.257822315,5.469,1.8,44.29287071
1,1,1,1,2,1,2,1,Kiwi,6,265.898,276.007,278.300,8.082,76.343,207.200,4,5,6.373717,1.328796,0.809465539,-10,-10,-10,-10,-10,-10,-10,-10,0.986993202,1.012262763,8.881762666,0,8.562,42.42404906
1,1,1,1,3,2,3,1,Book,0,279.301,287.944,298.545,14.417,76.632,180.800,2,3,6.335027,1.666779,1.150601,-10,-10,-10,-10,-10,-10,-10,-10,0.963024533,1.081003287,10.76384151,2.5,4.559,40.22561704
1,1,1,1,4,3,2,1,Kiwi,6,299.556,310.103,315.405,38.179,56.649,307.200,4,6,5.289509,1.657196,1.226206807,-10,-10,-10,-10,-10,-10,-10,-10,0.783636363,1.037801275,7.066371878,0,8.004,45.6888635
1,1,1,1,5,2,1,1,Broom,12,316.416,322.868,327.289,16.691,72.255,130.400,2,3,6.371329,1.728333,1.209197113,-10,-10,-10,-10,-10,-10,-10,-10,0.951688248,1.01885881,14.60996573,0,4.944,43.66573073
1,1,1,1,6,1,3,1,Book,0,328.299,338.894,343.101,16.740,81.654,250.400,4,5,5.182845,1.200562,0.778263789,-10,-10,-10,-10,-10,-10,-10,-10,0.951428736,1.055943062,8.998944961,3,6.061,35.27094491
1,1,1,1,7,3,1,1,Broom,12,344.111,351.270,355.750,16.720,67.281,94.400,1,1,4.209786,2.903931,2.560917637,-10,-10,-10,-10,-10,-10,-10,-10,0.951534736,1.002265104,12.57098191,1.3,4.049,35.76785016
1,1,1,1,8,1,3,1,Book,0,356.761,368.999,372.068,16.519,84.226,289.600,3,5,3.700816,1.385864,1.084321512,-10,-10,-10,-10,-10,-10,-10,-10,0.952594154,1.071388237,8.643230649,3.7,5.999,36.94630791
1,1,1,1,9,3,2,1,Kiwi,6,373.078,382.955,385.942,21.207,65.805,241.600,4,6,4.325423,1.188019,0.835583534,-10,-10,-10,-10,-10,-10,-10,-10,0.925161331,1.003090595,8.167262724,0,7.982,42.56602605
1,1,1,1,10,2,1,1,Broom,12,386.951,393.404,396.508,21.949,65.099,152.000,3,3,3.668024,1.081543,0.782672404,-10,-10,-10,-10,-10,-10,-10,-10,0.920311821,1.019289881,13.22100602,0.6,4.309,38.22873695
